gene	acc	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
IL2RB	GCST90241613	Chronic sinusitis	J10_CHRONSINUSITIS	2052	0.017405130352643024	0.016709539192735292	0.38054650032451925	0.3651178450331913	0.22022098509691124
TNFRSF14	GCST90243162	Second line medication for Crohn's disease	RX_CROHN_2NDLINE	2695	0.00446923436040454	0.0012384974101598313	0.6073584742192314	0.16809005140583824	0.2188437426043659
TNFRSF14	GCST90243162	Reimbursement for rheumatic diseases	K11_REIMB_202	2695	0.015775480459151288	0.0043716417885316244	0.5961522572511436	0.164984754600492	0.21871586590068146
TNFRSF14	GCST90243162	Follicular lymphoma, hilmo (controls excluding all cancers)	CD2_FOLLICULAR_LYMPHOMA_EXALLC	2695	0.011973699684825237	0.0033181066048067654	0.6037826085374636	0.16710414326323736	0.21382144190966693
TGFB2	GCST90243060	Hallux valgus (acquired)	M13_HALLUXVALGUS	3031	0.00014740144232896978	0.0005276438613547556	0.1728001932310303	0.6183540343548498	0.2081707271104356
ICAM3	GCST90241539	Diverticular disease of intestine	K11_DIVERTIC	2462	2.0676393858851633e-06	3.668775894731172e-07	0.6774337622572786	0.11999985985513756	0.20256394337060857
TNFRSF14	GCST90243162	MS-disease / Multiple Sclerosis	G6_MS	2695	0.00011249143120371412	3.117320215858225e-05	0.6325097687473217	0.17508646715516207	0.19226009946415432
ANXA2	GCST90240298	Hypertension, essential	I9_HYPTENSESS	2143	0.23475546940897377	0.4016724801955465	0.06505539040272873	0.1111240075843636	0.18739265240838732
CTSH	GCST90240625	Type1 diabetes, definitions combined, early onset	T1D_EARLY	2330	0.0005931369880585499	0.0004770035774658198	0.4518865066674166	0.36322545285629454	0.18381789991076397
TNFRSF14	GCST90243162	Nasal polyp	J10_NASALPOLYP	2695	0.010585012263053415	0.00293327877151537	0.6295412790853844	0.1742734435823546	0.18266698629769265
TNFRSF14	GCST90243162	Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)	C3_NONHODGKIN_EXALLC	2695	0.016423355086449067	0.004551178367576438	0.6264742034457392	0.17342704989426727	0.17912421320596816
CTSH	GCST90240625	Type 1 diabetes, definitions combined	T1D	2330	0.03133301676252724	0.025198160609479044	0.43071066410343084	0.34621301263973603	0.166545145884827
