gene_symbol	disease	disease_category	immune_class	OR	FDR	PP_H4	n_categories	druggability	fda_target	category_label	novelty_priority	s_causal	s_coloc	s_pleio	s_drug	s_cell	p_known	p_mhc
ERBB3	Psoriasis	Autoimmune	Immune-cell-enriched	0.7391027180989734	0.0150069051666599	1.599947270527193e-05	2	2	0	novel nomination	2.3647577718518242	0.3647417723791187	1.599947270527193e-05	0.5	1.0	0.5	0.0	0.0
HAVCR1	Coeliac disease	Autoimmune	Immune-cell-enriched	2.414271024768988	0.0058800869391012	0.9123792884754937	1	1	0	NOVEL colocalized	2.3585025390122123	0.44612325053671836	0.9123792884754937	0.0	0.5	0.5	0.0	0.0
CD79B	Type 2 diabetes	Metabolic	Ig/B-cell/Fc	0.813433330115456	0.0250542143483569	0.0002619547252424	1	3	1	novel nomination	2.3204857969936223	0.32022384226837985	0.0002619547252424	0.0	1.5	0.5	0.0	0.0
PM20D1	Type 2 diabetes	Metabolic	Immune-cell-enriched	1.0635449479173618	0.0402253282954766	0.0338904879770865	3	1	0	novel nomination	2.312990568528742	0.2791000805516555	0.0338904879770865	1.0	0.5	0.5	0.0	0.0
SIGLEC9	Guillain-Barre	Autoimmune	Immune-cell-enriched	2.9426871908214847	0.0154601815515017	0.947765099372724	1	1	0	NOVEL colocalized	2.3099221814517037	0.3621570820789798	0.947765099372724	0.0	0.5	0.5	0.0	0.0
SIGLEC7	Guillain-Barre	Autoimmune	Immune-cell-enriched	3.0533665432002017	0.0154601815515017	0.947669118664208	1	1	0	NOVEL colocalized	2.3098262007431876	0.3621570820789798	0.947669118664208	0.0	0.5	0.5	0.0	0.0
CTSH	Type 1 diabetes	Metabolic	Immune-cell-enriched	1.2279126557902569	0.0001205251959873	0.9983971816934452	1	0	0	NOVEL colocalized	2.2821816124201484	0.7837844307267032	0.9983971816934452	0.0	0.0	0.5	0.0	0.0
LTBR	Sarcoidosis	Autoimmune	Cytokine/Interleukin	1.391202658282484	0.00378619611444	0.7926753978617789	1	1	0	novel nomination	2.277034776770177	0.48435937890839825	0.7926753978617789	0.0	0.5	0.5	0.0	0.0
SLC12A2	Hypertension	Cardiovascular	Immune-cell-enriched	1.1212092156400697	0.045551128494679	1.3149745486805363e-20	1	3	1	novel nomination	2.2683001718482254	0.2683001718482252	1.3149745486805363e-20	0.0	1.5	0.5	0.0	0.0
CLEC4A	Type 2 diabetes	Metabolic	Immune-cell-enriched	0.905845101185168	0.010182537594924	0.8614949374707648	1	1	0	NOVEL colocalized	2.2599237330270308	0.39842879555626626	0.8614949374707648	0.0	0.5	0.5	0.0	0.0
NOMO1	Type 2 diabetes	Metabolic	Immune-cell-enriched	1.0969062500032989	0.0002382796778016	0.5352549833119766	1	1	0	novel nomination	2.259837582475903	0.7245825991639266	0.5352549833119766	0.0	0.5	0.5	0.0	0.0
SCPEP1	Venous thromboembolism	Cardiovascular	Immune-cell-enriched	1.2766681509025382	0.010182537594924	0.8596461708225693	1	1	0	NOVEL colocalized	2.2580749663788353	0.39842879555626626	0.8596461708225693	0.0	0.5	0.5	0.0	0.0
SPON2	Glaucoma	Neuro/Aging	Immune-cell-enriched	1.272214258130565	0.0046759749953051	0.7501038989933925	1	1	0	novel nomination	2.2161294629706267	0.4660255639772342	0.7501038989933925	0.0	0.5	0.5	0.0	0.0
SPRY2	Type 2 diabetes	Metabolic	Immune-cell-enriched	1.3349625036172446	8.88067752141048e-07	1.3466530182329053e-08	1	1	0	novel nomination	2.2103107934507764	1.2103107799842463	1.3466530182329053e-08	0.0	0.5	0.5	0.0	0.0
ARG1	Type 2 diabetes	Metabolic	Immune-cell-enriched	0.922169312756154	3.247529686596671e-09		1	0	0	novel nomination	2.1976893740453707	1.6976893740453707	0.0	0.0	0.0	0.5	0.0	0.0
IL4	Psoriasis	Autoimmune	Cytokine/Interleukin	1.7955955190555564	1.6181736097945674e-06	4.305775456975156e-06	2	3	1	recovered known axis	2.1581992829467795	1.1581949771713227	4.305775456975156e-06	0.5	1.5	0.5	1.5	0.0
TNFSF14	Multiple sclerosis	Autoimmune	TNF superfamily	0.4980323826686125	1.7344106899583085e-06	0.9990245528450764	1	2	0	recovered known axis	2.1511941645210655	1.1521696116759892	0.9990245528450764	0.0	1.0	0.5	1.5	0.0
AAMDC	Hypertension	Cardiovascular	Immune-cell-enriched	0.9468317704952888	0.0079503976381341	0.7269055920169191	2	0	0	novel nomination	2.146827821940247	0.4199222299233279	0.7269055920169191	0.5	0.0	0.5	0.0	0.0
SEZ6	Osteoporosis	Neuro/Aging	Immune-cell-enriched	0.1941459348771198	0.0086754434117129	0.7312387194225011	1	1	0	novel nomination	2.143580383160149	0.41234166373764775	0.7312387194225011	0.0	0.5	0.5	0.0	0.0
HAVCR2	Alzheimer's disease	Neuro/Aging	Immune checkpoint	0.7565394926828077	0.0244394305289586	0.8183465050249855	1	1	0	NOVEL colocalized	2.1407282886144197	0.32238178358943415	0.8183465050249855	0.0	0.5	0.5	0.0	0.0
PFKFB2	Atrial fibrillation	Cardiovascular	Immune-cell-enriched	0.5606971049270295	0.0006512810502508	0.9898981604038328	1	0	0	NOVEL colocalized	2.1271444719888035	0.6372463115849707	0.9898981604038328	0.0	0.0	0.5	0.0	0.0
SCARF1	Alzheimer's disease	Neuro/Aging	Immune-cell-enriched	2.557846857173077	0.0320904681951792	0.8033638104865007	1	1	0	NOVEL colocalized	2.1020885997997185	0.2987247893132179	0.8033638104865007	0.0	0.5	0.5	0.0	0.0
IL12RB2	Autoimmune hyperthyroidism	Autoimmune	Cytokine/Interleukin	1.3241705859078028	0.0404101809893762	0.8228502476284897	1	1	0	NOVEL colocalized	2.10155208851491	0.27870184088642047	0.8228502476284897	0.0	0.5	0.5	0.0	0.0
DPEP2	Osteoporosis	Neuro/Aging	Immune-cell-enriched	0.8037253365658946	0.0315021171172835	0.7926432582683223	1	1	0	novel nomination	2.09297530991385	0.300332051645528	0.7926432582683223	0.0	0.5	0.5	0.0	0.0
SWAP70	Hypertension	Cardiovascular	Immune-cell-enriched	0.8981950163318115	5.031927448444981e-06	3.926138941246438e-06	2	0	0	novel nomination	2.059657051995185	1.0596531258562438	3.926138941246438e-06	0.5	0.0	0.5	0.0	0.0
PIK3IP1	Type 2 diabetes	Metabolic	Immune-cell-enriched	1.0561174416647163	0.0040013774922742	0.0510221932963237	2	1	0	novel nomination	2.030580288315292	0.4795580950189682	0.0510221932963237	0.5	0.5	0.5	0.0	0.0
PFKFB2	Hypertension	Cardiovascular	Immune-cell-enriched	0.7249380606905292	0.0015827278390193	0.9681097271726352	1	0	0	NOVEL colocalized	2.028228478903134	0.5601187517304987	0.9681097271726352	0.0	0.0	0.5	0.0	0.0
CASP3	Type 2 diabetes	Metabolic	Immune-cell-enriched	1.0847426735314722	0.0024651895370177	5.384142256271635e-07	1	2	1	novel nomination	2.021630475256167	0.5216299368419411	5.384142256271635e-07	0.0	1.0	0.5	0.0	0.0
AAMDC	Venous thromboembolism	Cardiovascular	Immune-cell-enriched	0.908892842795595	0.0115798177497776	0.6252990366296263	2	0	0	novel nomination	2.0125586917787825	0.3872596551491564	0.6252990366296263	0.5	0.0	0.5	0.0	0.0
LTBP2	Hypertension	Cardiovascular	Cytokine/Interleukin	0.86835959147363	0.0100239646098155	0.6054446851238643	2	1	0	novel nomination	2.0052367801864417	0.39979209506257724	0.6054446851238643	0.5	0.5	0.0	0.0	0.0
TNFSF13	Glaucoma	Neuro/Aging	TNF superfamily	0.8996304613374326	0.0185452998335878	0.6585841636050902	1	1	0	novel nomination	2.0049373917581175	0.34635322815302705	0.6585841636050902	0.0	0.5	0.5	0.0	0.0
NGFR	Hypertension	Cardiovascular	Immune-cell-enriched	0.6333947538585684	1.0035657120076827e-05	0.001856944055482	1	1	0	novel nomination	2.001547781111711	0.9996908370562286	0.001856944055482	0.0	0.5	0.5	0.0	0.0
SCARF1	Dementia	Neuro/Aging	Immune-cell-enriched	1.9892701904588983	0.0170296491530536	0.6181991019169373	1	1	0	novel nomination	1.9719579617837522	0.35375885986681493	0.6181991019169373	0.0	0.5	0.5	0.0	0.0
CA8	Rheumatoid arthritis	Autoimmune	Immune-cell-enriched	0.746217049064143	0.001181574898891	0.8827742868653535	1	0	0	NOVEL colocalized	1.968282035595658	0.5855077487303045	0.8827742868653535	0.0	0.0	0.5	0.0	0.0
LILRB2	Dementia	Neuro/Aging	Immune-cell-enriched	0.8281129908821212	0.0397098379009748	0.6618138490734694	1	1	0	novel nomination	1.9420342262255674	0.280220377152098	0.6618138490734694	0.0	0.5	0.5	0.0	0.0
ANPEP	Coronary heart disease	Cardiovascular	Immune-cell-enriched	1.0406550991706236	0.0065151867679505	2.2179540354375152e-23	2	1	0	novel nomination	1.9372146260093834	0.43721462600938343	2.2179540354375152e-23	0.5	0.5	0.5	0.0	0.0
PF4	Type 2 diabetes	Metabolic	Chemokine axis	0.7140693785147311	0.0402253282954766	0.6421299505326118	1	1	0	novel nomination	1.9212300310842674	0.2791000805516555	0.6421299505326118	0.0	0.5	0.5	0.0	0.0
PDLIM7	Venous thromboembolism	Cardiovascular	Immune-cell-enriched	0.7184121014283523	0.0048180997702861	0.954968490081428	1	0	0	NOVEL colocalized	1.918393332309026	0.463424842227598	0.954968490081428	0.0	0.0	0.5	0.0	0.0
PVR	Alzheimer's disease	Neuro/Aging	Immune-cell-enriched	0.6131208119857751	0.0086754434117129	1.1388573288255053e-45	1	2	0	novel nomination	1.9123416637376478	0.41234166373764775	1.1388573288255053e-45	0.0	1.0	0.5	0.0	0.0
HAVCR2	Dementia	Neuro/Aging	Immune checkpoint	0.8140496555749581	0.01236132727695	0.5158040084254029	1	1	0	novel nomination	1.8973909874446222	0.38158697901921923	0.5158040084254029	0.0	0.5	0.5	0.0	0.0
ADM	Atrial fibrillation	Cardiovascular	Immune-cell-enriched	1.1149083465239968	0.004782442730421	0.4225282108609871	1	1	0	novel nomination	1.8865982552470402	0.4640700443860532	0.4225282108609871	0.0	0.5	0.5	0.0	0.0
RAPGEF2	Dementia	Neuro/Aging	Immune-cell-enriched	1.1085152246160994	0.0065151867679505	0.9403049796453072	1	0	0	NOVEL colocalized	1.8775196056546908	0.43721462600938343	0.9403049796453072	0.0	0.0	0.5	0.0	0.0
NPDC1	Type 2 diabetes	Metabolic	Immune-cell-enriched	1.084949738906209	4.209410607881306e-05	1.8605153427240207e-26	1	1	0	novel nomination	1.87515574176703	0.8751557417670298	1.8605153427240207e-26	0.0	0.5	0.5	0.0	0.0
AAMDC	Chronic kidney disease	Renal	Immune-cell-enriched	0.8847875172798205	0.0408992724181256	0.5888946019073391	2	0	0	novel nomination	1.8665514854775274	0.27765688357018836	0.5888946019073391	0.5	0.0	0.5	0.0	0.0
PILRB	Dementia	Neuro/Aging	Immune-cell-enriched	1.0492520068472584	0.022614420078291	0.5326866773174385	1	1	0	novel nomination	1.8618095862725073	0.3291229089550688	0.5326866773174385	0.0	0.5	0.5	0.0	0.0
NUMB	Coeliac disease	Autoimmune	Immune-cell-enriched	0.5647687861390079	0.0055373746945546	0.9018358607018012	1	0	0	NOVEL colocalized	1.8531750783663377	0.45133921766453655	0.9018358607018012	0.0	0.0	0.5	0.0	0.0
