gene_symbol	disease	immune_class	chr	OR	OR_l95	OR_u95	MR_p	FDR	PP_H4	nsnp	evidence_tier	claim_label	allowed_language	pQTL_OR	pQTL_MR_p	pQTL_FDR	pQTL_PPH4	dir
TNFRSF14	Rheumatoid arthritis	TNF superfamily	1	0.8739742552963211	0.8214650748459353	0.9298398949754676	2.0347588071270665e-05	0.009890058224197	0.0832306904289751	6039.0	3	genetically-supported nomination	genetically supported; colocalization pending/absent	0.8419359846709378	0.0485195108391445	0.5092765140929896	0.2232088703897165	concordant
ERBB3	Psoriasis	Immune-cell-enriched	12	0.7391027180989734	0.634961425031963	0.8603244328957338	9.556509339838637e-05	0.0309394027354561	1.599947270527193e-05	3989.0	3	genetically-supported nomination	genetically supported; colocalization pending/absent	1.3656775662899765	0.1178223130831419	0.5939206394191032	0.0001691152871939	DISCORDANT
ERBB3	Rheumatoid arthritis	Immune-cell-enriched	12	1.3135853777167552	1.142480298367527	1.5103162365397642	0.0001277694707102	0.0356991335372866	0.5544326195978327	3989.0	3	genetically-supported nomination (suggestive coloc)	genetically supported; suggestive colocalization	0.7937484898744926	0.2193659534875744	0.6530644962340657	0.0088620348709584	DISCORDANT
TNFSF8	Coeliac disease	TNF superfamily	9	0.7603789611279782	0.6608056575755428	0.8749564382474537	0.0001305717537082	0.0356991335372866	0.6884886543893418	6575.0	3	genetically-supported nomination (suggestive coloc)	genetically supported; suggestive colocalization	1.1067511523070384	0.615093978852769	0.8895776038404954	0.0076596399821888	DISCORDANT
C2	Rheumatoid arthritis	Complement/Coagulation	6	4.411784661989173	3.527636362726879	5.51753125957611	1.1062628601547995e-38	9.67869376349434e-35			2	genetically-supported nomination (MHC LD caution)	genetically supported, MHC — requires colocalization					no pQTL
C2	Coeliac disease	Complement/Coagulation	6	3.676316273878641	2.522040899987243	5.358874769101999	1.2755894694988494e-11	2.2320264537290868e-08			2	genetically-supported nomination (MHC LD caution)	genetically supported, MHC — requires colocalization					no pQTL
KIAA0319	Ankylosing spondylitis	Immune-cell-enriched	6	0.6475203748690394	0.5571530450754603	0.7525448161442858	1.4522113882592809e-08	1.588174679485056e-05			2	genetically-supported nomination (MHC LD caution)	genetically supported, MHC — requires colocalization	9.60180911897189	9.769962616701378e-15	2.4131807663252407e-12	0.0570248238336972	DISCORDANT
C2	Ankylosing spondylitis	Complement/Coagulation	6	3.3482720524801994	2.163346517918758	5.182214520217229	5.87202415595639e-08	5.708259926718052e-05			2	genetically-supported nomination (MHC LD caution)	genetically supported, MHC — requires colocalization					no pQTL
RAB44	Ankylosing spondylitis	Immune-cell-enriched	6	0.8122566172256516	0.7418753000867295	0.8893149726776574	6.90117073603651e-06	0.0046444879053525			2	genetically-supported nomination (MHC LD caution)	genetically supported, MHC — requires colocalization					no pQTL
C2	Psoriasis	Complement/Coagulation	6	1.6201595163871174	1.292657394390019	2.03063616850959	2.8145006364343208e-05	0.0111927573037108			2	genetically-supported nomination (MHC LD caution)	genetically supported, MHC — requires colocalization					no pQTL
C2	Sjogren syndrome	Complement/Coagulation	6	2.6145118762831148	1.6613026790029048	4.114645956827174	3.267918610639147e-05	0.0120853568117776			2	genetically-supported nomination (MHC LD caution)	genetically supported, MHC — requires colocalization					no pQTL
