gene	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
SLC12A2	Erysipelas	AB1_ERYSIPELAS	5516	1.5246784161530505e-85	8.353625145240176e-07	1.784959395266795e-81	0.00878847893905197	0.9912106856984304
ACE	Alzheimer disease	G6_ALZHEIMER	3675	2.768034987744202e-15	0.00022302449540858758	1.2221483167966048e-13	0.008856101033664346	0.9909208744708035
PSRC1	Angina pectoris	I9_ANGINA	4665	0.0	3.995528759432076e-16	0.0	0.009115965531153515	0.9908840344689392
FES	Atrial fibrillation and flutter	I9_AF	5936	0.0	6.911311441951461e-05	0.0	0.009052169911374744	0.9908787169742405
PSRC1	Ischaemic heart disease, wide definition	I9_IHD	4665	0.0	2.570257453499802e-20	0.0	0.00923037095979125	0.9907696290401288
CD6	Cerebral palsy	G6_CP	4858	4.712142681918237e-196	0.00487796505425648	5.406133746499584e-196	0.004605861796315331	0.9905161731494453
LTBP3	Pterygium	H7_PTERYGIUM	3546	0.0	0.003453155895775246	0.0	0.006062985619235773	0.990483858484987
PSRC1	STROKE	C_STROKE	4665	0.0	0.0016323716698020316	0.0	0.0079737655023436	0.9903938628278954
MAPT	Benign neoplasm of meninges	CD2_BENIGN_MENINGES	1982	4.574061504169736e-07	0.0058689581586798805	3.938686343122891e-07	0.004063644543537018	0.9900665460229977
IL2RA	Other otitis externa (chronic)	H8_EXT_OTH	8103	1.0519657232653409e-51	0.0008819955959477244	1.2150081676893605e-50	0.009197025508449627	0.9899209788955968
PFKFB2	Atrial fibrillation and flutter	I9_AF	3971	3.721863233471297e-16	0.0024864168716543043	1.2881117313402059e-15	0.007615422724514738	0.9898981604038327
PLAUR	Coronary angioplasty	I9_ANGIO	6392	1.3334495821845038e-26	0.005167288005452601	1.5308273527346054e-26	0.004942261708962569	0.9898904502855844
CD5	Cerebral palsy	G6_CP	4892	1.93813887979e-130	0.005750722876864948	2.248040126089667e-130	0.005681674615952863	0.9885676025071961
PSRC1	Coronary artery bypass grafting	I9_CABG	4665	0.0	8.1755995051269e-19	0.0	0.011436962038462936	0.9885630379614777
CTLA4	Seropositive rheumatoid arthritis, strict definition	RHEUMA_SEROPOS_STRICT	4428	1.8606773331178776e-73	7.753403885730511e-10	2.988024454821476e-66	0.011462498477559221	0.9885375007470958
PDGFB	Degeneration of macula and posterior pole	H7_MACULADEGEN	4502	0.0	0.0029936093665014272	0.0	0.008488643092524143	0.9885177475410271
MAPT	Fracture of forearm	ST19_FRACT_FOREA	1982	7.692202400589236e-08	0.000986562807660493	9.211936264372264e-07	0.010826575672606005	0.988185863404084
PSRC1	Major coronary heart disease event	I9_CHD	4665	0.0	1.976364060152501e-16	0.0	0.01188099333702006	0.9881190066630413
ACE	Other degenerative diseases of the nervous system	NEURODEGOTH	3674	1.7311605367160064e-15	0.00013951727876829978	1.6391904170048823e-13	0.012222886876798076	0.987637595844271
EFNA1	Benign neoplasm: Stomach	CD2_BENIGN_STOMACH	3315	3.2264225870888446e-10	0.0011265972461241072	3.5409266547264433e-09	0.011376656154984286	0.9874967427353242
PSRC1	Diseases of arteries, arterioles and capillaries (FINNGEN)	FG_DOAAC	4665	0.0	0.00032849718313734266	0.0	0.012295101327259379	0.987376401489584
ACE	Pulmonary eosinophilia, not elsewhere classified	J10_PULMEOS	3675	5.664991822550808e-14	0.0045649045791402	1.1501610295736526e-13	0.008280953412444034	0.9871541420082439
FES	Atrial fibrillation and flutter with reimbursement	I9_AF_REIMB	5936	0.0	1.7348927091631407e-05	0.0	0.012919699385552744	0.9870629516873571
CTLA4	Seropositive rheumatoid arthritis, wide	RHEUMA_SEROPOS_WIDE	4428	3.43468960159698e-77	1.4312279386510573e-13	3.3729507961789156e-66	0.013068083164999382	0.9869319168348599
LCN2	Hypothyroidism, strict autoimmune	E4_HYTHY_AI_STRICT	3422	6.888184612311835e-35	0.003864238801428484	1.8420395320821216e-34	0.009346965356034045	0.9867887958425398
PLAUR	Coronary atherosclerosis	I9_CORATHER	6392	4.3894559294599065e-27	0.0017009704212140675	3.243066075555519e-26	0.011580578173079323	0.9867184514057101
IL6ST	Graves ophthalmopathy	GRAVES_OPHT	5824	5.331267381453888e-32	0.007646130423168519	4.652509932441035e-32	0.005685985200382224	0.9866678843764477
TNFRSF4	Allergic rhinitis	ALLERG_RHINITIS	4147	5.245883450270644e-121	0.0007466407076301729	9.549742122102401e-120	0.012605392884909352	0.9866479664074795
PLAUR	Myocardial infarction, strict	I9_MI_STRICT	6392	2.1562589155874963e-29	8.355779611038816e-06	3.7250355830237185e-26	0.01344844703056916	0.9865431971898233
LTBR	Acute appendicitis, with complications	APPENDACUT_COMPLIC	5373	6.581630133467397e-205	1.6074974748233912e-07	6.141075540522261e-200	0.01401297726073068	0.9859868619895306
IL12RB2	Primary biliary cholangitis (PBC)	CHIRBIL_PRIM	5640	0.0	1.8013027146803833e-05	0.0	0.014348232513003035	0.9856337544598214
