gene_symbol	disease	fin_OR	fin_FDR	uk_OR	uk_p	uk_FDR	fin_dir	uk_dir	concordant	uk_replicates	two_population_validated	uk_id	uk_label	uk_caveat
SPRY2	Type 2 diabetes	1.3349625036172446	8.88067752141048e-07	1.0013411899687266	0.30980239464669346	0.7932170994975498	risk	risk	True	False	False	ukb-b-13806	UKB, T2D (self-report)	self-report
TGFB2	Venous thromboembolism	1.900106039681458	0.0115886799288324	1.0052751822653725	0.31385872840720674	0.7934218804179854	risk	risk	True	False	False	ukb-d-I9_VTE	Neale UKB, VTE	
TMEM106A	Hypertension	1.1129202440874162	0.0156175229077421	1.0048347948500584	0.3327089100755942	0.8083858389509152	risk	risk	True	False	False	ieu-b-5144	Tang UKB, hypertension	
STK11	Coronary heart disease	1.1093549553793438	0.0136424038425075	1.0014683436733396	0.34828395769173603	0.8202932023882046	risk	risk	True	False	False	ukb-d-I9_CHD	Neale UKB, major CHD event	
VAT1	Hypertension	1.0693810397620036	0.0168879963903021	1.0027082392363884	0.3900546650930623	0.8531733464024679	risk	risk	True	False	False	ieu-b-5144	Tang UKB, hypertension	
ANXA11	Glaucoma	1.1922062043746104	6.545828178554407e-05	1.0004855003604074	0.393964468512801	0.8537030534532243	risk	risk	True	False	False	ukb-d-H40	Neale UKB, glaucoma (ICD H40)	
CASP3	Type 2 diabetes	1.0847426735314722	0.0024651895370177	1.000416307386966	0.4471541651372761	0.8796954490609158	risk	risk	True	False	False	ukb-b-13806	UKB, T2D (self-report)	self-report
PRKCQ	Rheumatoid arthritis	1.3345586596586652	0.0431753205286493	1.0007211015093325	0.5132539466131187	0.9011225225736945	risk	risk	True	False	False	ukb-d-M13_RHEUMA	Neale UKB, RA (ICD M13)	
KIAA0319	Ankylosing spondylitis	0.6475203748690394	7.818706114387967e-06	0.9997687926620757	0.518515360993395	0.9011225225736945	protective	protective	True	False	False	ukb-b-18194	UKB, AS (self-report)	self-report
SERPING1	Venous thromboembolism	1.136976592701742	0.0215460538051828	1.0006490920047673	0.5232499745111605	0.9011225225736945	risk	risk	True	False	False	ukb-d-I9_VTE	Neale UKB, VTE	
SNX2	Psoriasis	0.6132116720854147	0.0315021171172835	0.9985007389210446	0.5299006715896044	0.9024039685814352	protective	protective	True	False	False	ukb-b-10537	UKB, psoriasis (self-report)	self-report
RAB44	Ankylosing spondylitis	0.8122566172256516	0.0019703888083313	0.9998619182945774	0.531394147924358	0.9024039685814352	protective	protective	True	False	False	ukb-b-18194	UKB, AS (self-report)	self-report
ERBB3	Rheumatoid arthritis	1.3135853777167552	0.0181029165869503	1.0005592862849588	0.5560182458407648	0.9063282725908345	risk	risk	True	False	False	ukb-d-M13_RHEUMA	Neale UKB, RA (ICD M13)	
IL4	Coronary heart disease	1.2473590950313898	0.0071016825880177	1.0023379436204662	0.570023660351525	0.9136161968360437	risk	risk	True	False	False	ukb-d-I9_CHD	Neale UKB, major CHD event	
TPPP3	Coronary heart disease	0.8232975362902791	0.0476434773090409	0.9987075520772379	0.6559185735252946	0.932483685220008	protective	protective	True	False	False	ukb-d-I9_CHD	Neale UKB, major CHD event	
GSTM4	Heart failure	1.0438119594405235	0.0442080241076727	1.0000984353419058	0.6581916987024656	0.932483685220008	risk	risk	True	False	False	ukb-d-I9_HEARTFAIL	Neale UKB, heart failure	
MERTK	Type 2 diabetes	1.0440200592823037	0.0466114470223556	1.0001252480923104	0.747998554067526	0.949017661223028	risk	risk	True	False	False	ukb-b-13806	UKB, T2D (self-report)	self-report
MYL6B	Rheumatoid arthritis	1.396184655655942	0.0055229402576664	1.0002888269342893	0.7891337475363416	0.9565032645172584	risk	risk	True	False	False	ukb-d-M13_RHEUMA	Neale UKB, RA (ICD M13)	
AAMDC	Venous thromboembolism	0.908892842795595	0.0115798177497776	0.9997785981795327	0.8042748568128828	0.9565032645172584	protective	protective	True	False	False	ukb-d-I9_VTE	Neale UKB, VTE	
CDKN1A	Heart failure	1.4800683450158931	3.3346146686789313e-14	1.0001635648951155	0.8295137317297183	0.9647355154763888	risk	risk	True	False	False	ukb-d-I9_HEARTFAIL	Neale UKB, heart failure	
MPO	Type 2 diabetes	1.0745197237685855	0.0432695410517407	1.0000656754340083	0.9084003577114208	0.9847158243685254	risk	risk	True	False	False	ukb-b-13806	UKB, T2D (self-report)	self-report
