gene	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
SERPING1	Venous thromboembolism	I9_VTE	5203	2.5973240066104397e-250	0.00014901131178896495	1.7412321611340094e-246	0.9989629986846593	0.0008879900035633445
CD79B	Type 2 diabetes	T2D	3278	1.1071171480854307e-37	8.27310015490826e-05	1.3377522451055449e-33	0.9996553142732054	0.00026195472524240406
PRKCQ	Rheumatoid arthritis	M13_RHEUMA	7798	3.588780638736588e-71	1.094109120254101e-05	3.279952968620065e-66	0.9999570057877386	3.2053121059202626e-05
PINLYP	Coronary heart disease	I9_CHD	6111	1.4236214830899834e-51	1.3904835385208967e-05	1.0237897209082972e-46	0.9999587192004283	2.7375964180672512e-05
ERBB3	Psoriasis	L12_PSORIASIS	3989	2.289206011366682e-93	1.279472939061246e-06	1.7891480335693356e-87	0.9999827210543634	1.599947270527193e-05
PROCR	Venous thromboembolism	I9_VTE	3584	4.1937573904000885e-59	6.0864328185914496e-18	6.89029937746875e-42	0.9999945186879573	5.481312039401948e-06
RELB	Dementia	F5_DEMENTIA	5641	0.0	0.0	0.00015805225229381458	0.9998374837900512	4.463957874315477e-06
RELB	Alzheimer's disease	G6_AD_WIDE	5641	0.0	0.0	0.0001580523345293716	0.9998374987292568	4.4489363097868015e-06
IL4	Psoriasis	L12_PSORIASIS	4756	4.4719644638771936e-61	9.454723423232078e-12	4.729853034967599e-50	0.9999956942150776	4.305775456975156e-06
MYL4	Hypertension	I9_HYPTENS	3523	1.1361428715667534e-18	2.3648580501571595e-15	0.00048019482870971216	0.9995156683525075	4.136818779541329e-06
SWAP70	Hypertension	I9_HYPTENS	5601	1.6603984915500594e-267	8.582847381005799e-11	1.934546782977975e-257	0.9999960737752414	3.926138941246438e-06
LPL	Coronary heart disease	I9_CHD	7558	0.0	2.6251777850301966e-08	0.0	0.9999961825860841	3.791162104921719e-06
