gene_symbol	disease	phenocode	category	disease_system	immune_class	OR	FDR	PP_H4	pqtl_OR	pqtl_p	pqtl_PPH4	pqtl_concordant	two_population_validated	n_categories	druggability	fda_target	category_label	novelty_priority	s_causal	s_coloc	s_pleio	s_drug	s_cell	s_protein	s_repl	p_known	p_mhc
BAG3	Cardiomyopathy	I9_CARDMYO	IX Diseases of the circulatory system (I9_)	Cardiovascular	Immune-cell-enriched	0.545339782329416	1.688212614285842e-05	0.0006738098992441				False	False	1	0	0	novel nomination	1.4551883817024098	0.9545145718031657	0.0006738098992441	0.0	0.0	0.5	0.0	0.0	0.0	0.0
LDLR	Cardiovascular diseases (excluding rheumatic etc)	FG_CVD	Cardiometabolic endpoints	Cardiovascular	Immune-cell-enriched	0.6805328377717323	0.0067137921202107	1.3172169186000514e-10	0.9750250992538356	0.6042941607273598	0.0131887312448844	False	False	1	1	0	novel nomination	1.4346064221280261	0.4346064219963045	1.3172169186000514e-10	0.0	0.5	0.5	0.0	0.0	0.0	0.0
ADAM15	Atrial fibrillation and flutter	I9_AF	IX Diseases of the circulatory system (I9_)	Cardiovascular	Immune-cell-enriched	0.9299855235794624	0.0077113503919655	1.983331869769996e-43				False	False	1	1	0	novel nomination	1.4225739125499732	0.4225739125499731	1.983331869769996e-43	0.0	0.5	0.5	0.0	0.0	0.0	0.0
RALB	Hypertrophy of breast	N14_HYPERTROPHYBREAST	XIV Diseases of the genitourinary system (N14_)	Renal/Genitourinary	Immune-cell-enriched	1.2717129718235194	2.45331343017636e-05	1.2084111364537698e-06				False	False	1	0	0	novel nomination	1.4220506011505836	0.922049392739447	1.2084111364537698e-06	0.0	0.0	0.5	0.0	0.0	0.0	0.0
ACTA2	Primary_lymphoid and hematopoietic malignant neoplasms (controls excluding all cancers)	CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC_EXALLC	II Neoplasms from hospital discharges (CD2_)	Neoplasm	Immune-cell-enriched	1.0809215532595988	0.0055251490407263	0.4668011616836813				False	False	1	0	0	novel nomination	1.4183323621645778	0.45153120048089646	0.4668011616836813	0.0	0.0	0.5	0.0	0.0	0.0	0.0
FKBP1B	Asthma-related acute respiratory infections	ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma and related endpoints	Respiratory	Immune-cell-enriched	1.2527848416650085	0.0438436453313351	0.6413301723918298				False	False	1	0	0	novel nomination	1.4129488412095819	0.27161866881775204	0.6413301723918298	0.0	0.0	0.5	0.0	0.0	0.0	0.0
SLC16A1	Hypertension	I9_HYPTENS	IX Diseases of the circulatory system (I9_)	Cardiovascular	Immune-cell-enriched	0.8276151343209475	0.0087770309363827	7.215970130861856e-50				False	False	1	1	0	novel nomination	1.4113304741767707	0.4113304741767708	7.215970130861856e-50	0.0	0.5	0.5	0.0	0.0	0.0	0.0
TACC3	Primary gonarthrosis, bilateral	PRIM_KNEEARTHROSIS	Rheuma endpoints	Musculoskeletal	Immune-cell-enriched	1.0963708557599277	2.855219633919044e-05	1.1232369767510762e-18				False	False	1	0	0	novel nomination	1.408872095723187	0.9088720957231871	1.1232369767510762e-18	0.0	0.0	0.5	0.0	0.0	0.0	0.0
DENR	Other heart diseases	FG_OTHHEART	Cardiometabolic endpoints	Cardiovascular	Immune-cell-enriched	1.1675359119200612	0.0363097730735885	0.1103393083786972				False	False	2	0	0	novel nomination	1.398334601439392	0.2879952930606949	0.1103393083786972	0.5	0.0	0.5	0.0	0.0	0.0	0.0
SPRY2	Type 2 diabetes, wide definition	T2D_WIDE	Diabetes endpoints	Metabolic/Endocrine	Immune-cell-enriched	1.2967906352859306	0.0104179079007662	7.22507970575824e-05				False	False	1	1	0	novel nomination	1.3965161480480583	0.3964438972510008	7.22507970575824e-05	0.0	0.5	0.5	0.0	0.0	0.0	0.0
