gene	acc	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
TNFSF8	GCST90243150	Sjogren syndrome	M13_SJOGREN	2993	0.6441454813105609	0.2128346375979065	0.09921270327293966	0.032770221872794075	0.011036955945798949
IFNGR2	GCST90241556	Systemic lupus erythematosus	SLE_FG	2801	0.6825060451671835	0.1569419747243884	0.12164540241104597	0.02796136331785615	0.010945214379525937
TNFSF8	GCST90243150	Multiple sclerosis	G6_MS	2993	0.6287595208084861	0.20775090197828797	0.11468887864742332	0.03788388588588306	0.010916812679919775
TNFRSF14	GCST90243162	Crohn's disease	CHRONNAS	2840	0.6456703932720822	0.18329155979416265	0.12479437306393769	0.03541553728262582	0.010828136587191546
IL6ST	GCST90241649	Psoriasis	L12_PSORIASIS	3155	0.09116930970311406	0.6954828899120796	0.02349120338881682	0.17919141579944628	0.010665181196542924
IL4	GCST90241639	Sjogren syndrome	M13_SJOGREN	2132	0.7529873849688798	0.11699350948587102	0.10338150987387633	0.016052054946396718	0.010585540724976004
CD226	GCST90240639	Systemic lupus erythematosus	SLE_FG	4049	0.6320108706641594	0.14981956184011005	0.16785968633169904	0.03978097757858242	0.010528903585449152
IL4	GCST90241639	Guillain-Barre	G6_GUILBAR	2132	0.6958050639493465	0.10810895105877413	0.16067685487858746	0.024954304904696904	0.01045482520859494
CD226	GCST90240640	Coeliac disease	K11_COELIAC	4049	0.5847428081584443	0.22698399376664002	0.128113529254706	0.04972034850648222	0.010439320313727591
IFNGR2	GCST90241557	Guillain-Barre	G6_GUILBAR	2801	0.6878812185098336	0.13211418297750854	0.14226320376255772	0.027312583399345974	0.010428811350754102
KIAA0319	GCST90240986	Crohn's disease	CHRONNAS	4217	0.6258334034570023	0.1473429054899454	0.17521191767165833	0.04124059574679379	0.010371177634600035
SIGLEC9	GCST90242813	Coeliac disease	K11_COELIAC	3698	0.0	0.8124910694124773	0.0	0.17724808542065357	0.010260845166786579
IFNGR2	GCST90241557	Sjogren syndrome	M13_SJOGREN	2801	0.5792901710426344	0.11125823121031288	0.2510320333202617	0.04820289206046786	0.010216672366323098
IFNGR2	GCST90241558	Sarcoidosis	D3_SARCOIDOSIS	2801	0.7058365472560629	0.12784984504393443	0.13221956855680447	0.023939088564053995	0.01015495057914439
IFNGR2	GCST90241558	Guillain-Barre	G6_GUILBAR	2801	0.6944436038089014	0.12578621422178957	0.14362039441095498	0.02600415646472579	0.010145631093628435
IL4	GCST90241639	Ankylosing spondylitis	M13_ANKYLOSPON	2132	0.7311706507560749	0.11360378961535551	0.12559172065783333	0.019503365310517308	0.010130473660218926
CD226	GCST90240640	Sarcoidosis	D3_SARCOIDOSIS	4049	0.6005888290761873	0.23313506234420242	0.11254326841004265	0.04367670696819361	0.010056133201374069
LTBR	GCST90243176	Psoriasis	L12_PSORIASIS	2559	0.7279287121714196	0.10944103678174837	0.132664245596367	0.019935483838750327	0.01003052161171463
IFNGR2	GCST90241557	Autoimmune thyroiditis	E4_THYROIDITAUTOIM	2801	0.6872071020439766	0.1319847124472456	0.14332184739397413	0.027516364896486158	0.009969973218317553
TNFSF8	GCST90243150	Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	2993	0.6346536507069532	0.20969840458025127	0.1095257898978711	0.03617890302111673	0.009943251793807742
IFNGR2	GCST90241556	Autoimmune thyroiditis	E4_THYROIDITAUTOIM	2801	0.666078215660067	0.15316440231819692	0.13891527036513904	0.03193359880822866	0.009908512848368413
IFNGR2	GCST90241558	Autoimmune thyroiditis	E4_THYROIDITAUTOIM	2801	0.6936146876100768	0.12563607066803603	0.14465819417784317	0.026192382559854684	0.00989866498418946
LTBR	GCST90243176	Vitiligo	L12_VITILIGO	2559	0.7031633546727624	0.10571766888101164	0.1576666816512217	0.023694768503977913	0.009757526291026488
IL4	GCST90241639	Autoimmune thyroiditis	E4_THYROIDITAUTOIM	2132	0.7302509496936098	0.11346089339010183	0.1268392295042249	0.019697572959880658	0.009751354452182743
IFNGR2	GCST90241558	Sjogren syndrome	M13_SJOGREN	2801	0.5849342195357156	0.1059505201583249	0.25347784897569775	0.045903308852857316	0.009734102477404387
IFNGR2	GCST90241556	Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	2801	0.6886262633984687	0.15834931630291876	0.1165089010257281	0.026781438142798028	0.009734081130086395
PLAU	GCST90243298	Systemic lupus erythematosus	SLE_FG	2137	0.728322068315623	0.10681583759041063	0.1353032748656018	0.01983387620848569	0.009724943019879034
PLAU	GCST90243298	Vitiligo	L12_VITILIGO	2137	0.7394425142840012	0.10844676407495107	0.12427796864594295	0.018217012137728934	0.00961574085737565
IFNGR2	GCST90241556	Multiple sclerosis	G6_MS	2801	0.6891302795943132	0.15846521461272717	0.11611042228704874	0.02668993806205167	0.009604145443859244
TNFRSF14	GCST90243162	Ankylosing spondylitis	M13_ANKYLOSPON	2840	0.6746105399145983	0.19150702804863362	0.09682458863567148	0.027476780496160435	0.0095810629049362
IFNGR2	GCST90241558	Systemic lupus erythematosus	SLE_FG	2801	0.7117419679819882	0.12891950788253903	0.1268562215984336	0.022968253732232168	0.009514048804807069
IFNGR2	GCST90241557	Systemic lupus erythematosus	SLE_FG	2801	0.7053036999845239	0.13546033758026946	0.1257087069252268	0.024134169293002102	0.009393086216977554
IFNGR2	GCST90241558	Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	2801	0.7173621448581924	0.12993750382725955	0.12137073413728446	0.021974813645443424	0.009354803531820307
PLAU	GCST90243298	Autoimmune thyroiditis	E4_THYROIDITAUTOIM	2137	0.7455926262857396	0.10934874054019786	0.11840552049617144	0.01735607660470762	0.009297036073183369
TNFSF8	GCST90243150	Sarcoidosis	D3_SARCOIDOSIS	2993	0.64757484544733	0.21396774726710027	0.09709786448270862	0.03207320029803151	0.00928634250482971
HAVCR1	GCST90241394	Sarcoidosis	D3_SARCOIDOSIS	3015	7.962780668830901e-50	0.8294082410211242	1.5493484301128322e-50	0.16137188675285616	0.009219872226019754
IL4	GCST90241639	Systemic lupus erythematosus	SLE_FG	2132	0.7456778830856988	0.11585781412765157	0.11187488138444093	0.017373060231713228	0.009216361170495239
SIGLEC9	GCST90242813	Psoriasis	L12_PSORIASIS	3698	0.0	0.8827465336382329	0.0	0.10805843498617261	0.009195031375507213
LTBR	GCST90243176	Multiple sclerosis	G6_MS	2559	0.6969270987488853	0.10478007389054955	0.16439448223906133	0.024706831190782694	0.009191513930720948
CD226	GCST90240639	Coeliac disease	K11_COELIAC	4049	0.6570207514244945	0.155748208879439	0.1439491791676093	0.03411430080320227	0.009167559725254914
PLAU	GCST90243298	Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	2137	0.7447701123064014	0.10922811050102299	0.11941310252139108	0.017504061177338364	0.009084613493846193
TNFRSF14	GCST90243162	Sarcoidosis	D3_SARCOIDOSIS	2840	0.6453341718366064	0.18319611395680238	0.1265174054307795	0.035906450382652645	0.009045858393159256
TNFSF8	GCST90243150	Psoriasis	L12_PSORIASIS	2993	0.6459813481105088	0.21344123355546862	0.09887585031411629	0.032660917269273615	0.00904065075063275
PLAU	GCST90243298	Guillain-Barre	G6_GUILBAR	2137	0.7491949525953795	0.10987705832538873	0.11509934696601215	0.01687153256271356	0.008957109550505984
TNFRSF14	GCST90243162	Sjogren syndrome	M13_SJOGREN	2840	0.674334909772759	0.1914287827408877	0.09764739369907088	0.027711059884353084	0.008877853902929233
LTBR	GCST90243176	Crohn's disease	CHRONNAS	2559	0.739876789096075	0.11123738016581652	0.1217227198213175	0.018291630250335724	0.008871480666455087
ERBB3	GCST90242599	Rheumatoid arthritis	M13_RHEUMA	1793	6.299131242357736e-05	0.10529715201612647	0.0005295822877549005	0.885248239512736	0.008862034870958463
LTBR	GCST90243176	Autoimmune thyroiditis	E4_THYROIDITAUTOIM	2559	0.7269534914310131	0.10929441642300092	0.13470921183665893	0.020244167767483966	0.008798712541843072
IFNGR2	GCST90241557	Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	2801	0.7111918803974087	0.13659121908065064	0.12032678509035703	0.02310112370069645	0.008788991730887204
IFNGR2	GCST90241558	Crohn's disease	CHRONNAS	2801	0.7327497984813578	0.13272470596203045	0.10656376967954986	0.019293479671455862	0.00866824620560611
IFNGR2	GCST90241557	Multiple sclerosis	G6_MS	2801	0.7118166232152318	0.13671120692844588	0.11993280684331097	0.02302573176162069	0.008513631251390744
