gene_symbol	phenocode	disease	uk_id	uk_trait	match_method	uk_ncase	fin_OR	fin_FDR	uk_OR	uk_p	fin_dir	uk_dir	concordant	uk_replicates	two_population_validated
SLC12A2	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	exact-code	11867	0.6028265127492374	2.765185456140853e-35	0.9809891561304507	1.7063155242273993e-17	-	-	True	True	True
PPP3R1	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	exact-code	11867	1.2457151905101065	1.6762462806632653e-24	1.010641164708496	3.816366831650285e-16	+	+	True	True	True
CRIM1	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	exact-code	11867	0.7797368781331545	2.2768791040641663e-06	0.9948083735826073	0.06364537477757816	-	-	True	False	False
EFNA1	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	exact-code	11867	0.5894835327425846	0.0002993819271604	0.9880552686083326	0.045467288140369454	-	-	True	True	True
ADM	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	exact-code	11867	1.0893533173751386	0.0061204152343437	1.0028923379812429	0.02081874554627133	+	+	True	True	True
PDLIM7	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	exact-code	11867	0.7836556111360843	0.0077026311849418	0.9934209365781766	0.06728871641853314	-	-	True	False	False
SLC16A1	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	exact-code	11867	0.7977315639320371	0.0103403455498788	0.998672168043153	0.693521839846843	-	-	True	False	False
THBD	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	exact-code	11867	0.929126100039842	0.0334143970374397	0.9965391701425458	0.019447204125808033	-	-	True	True	True
MYL4	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	exact-code	11867	0.574624202815094	0.034868725509922	0.991210549927408	0.38216392276657235	-	-	True	False	False
C2	M13_RHEUMA	Rheumatoid arthritis	ukb-d-M13_RHEUMA	Rheumatoid arthritis	exact-code	1605	4.411784661989173	7.6372331567933465e-34	1.0042662384252055	3.2964879930614766e-05	+	+	True	True	True
