olink_id	gene_symbol	protein_name	immune_class	immune_score	cytokine	chemokine	interferon_axis	TNF_axis	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	msigdb_c7_immune_gene	rna_blood_cell_specificity	hpa_disease	hpa_protein_class
505	CEACAM1	Carcinoembryonic antigen-related cell adhesion molecule 1	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Group enriched		CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins
511	CEACAM3	Carcinoembryonic antigen-related cell adhesion molecule 3	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enriched		CD markers, Predicted intracellular proteins, Predicted membrane proteins
513	CEACAM6	Carcinoembryonic antigen-related cell adhesion molecule 6	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enhanced	Cancer-related genes, Oncogene	Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins
514	CEACAM8	Carcinoembryonic antigen-related cell adhesion molecule 8	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Granulocyte	0	1	Group enriched		CD markers, Plasma proteins, Predicted intracellular proteins
515	CEBPA	CCAAT/enhancer-binding protein alpha	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Granulocyte;Dendritic	0	1	Group enriched	Cancer-related genes, Disease variant	Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors
516	CEBPB	CCAAT/enhancer-binding protein beta	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enhanced		Predicted intracellular proteins, Transcription factors
531	CEP43	Centrosomal protein 43	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enhanced	Cancer-related genes	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins
532	CEP85	Centrosomal protein of 85 kDa	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enhanced		Predicted intracellular proteins
534	CES1	Liver carboxylesterase 1	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	1	Group enriched		Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins
553	CHAD	Chondroadherin	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	B-cell	1	1	Group enriched		Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
