olink_id	gene_symbol	protein_name	hpa_protein_class	hpa_bio_process	hpa_mol_function	hpa_disease	rna_blood_cell_specificity	rna_blood_cell_specific_ntpm	rna_blood_lineage_specificity	secretome_location	rna_tissue_specificity	msigdb_c7_immune_gene	cytokine	interleukin	interferon_axis	TNF_axis	chemokine	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	inflammation_immune_annotated	immune_score	is_plasma_immune	immune_class
2208	PTX3	Pentraxin-related protein PTX3	Plasma proteins, Predicted secreted proteins				Not detected in immune cells		Not detected	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
2209	PVALB	Parvalbumin alpha	Predicted intracellular proteins		Muscle protein		Immune cell enriched	neutrophil: 4.6	Lineage enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
2210	PVR	Poliovirus receptor	CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Cell adhesion, Host-virus interaction	Host cell receptor for virus entry, Receptor		Group enriched	classical monocyte: 4.4;intermediate monocyte: 4.4;myeloid DC: 3.6;neutrophil: 1.4;non-classical monocyte: 5.1	Group enriched	Secreted - unknown location	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Myeloid/Monocyte;Granulocyte;Dendritic	1	0	2	1	Immune-cell-enriched
2211	PXDNL	Peroxidasin-like protein	Predicted intracellular proteins		Endonuclease, Hydrolase, Nuclease, Oxidoreductase		Not detected in immune cells		Not detected	Intracellular and membrane	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2212	PXN	Paxillin	Predicted intracellular proteins	Cell adhesion			Immune cell enhanced	neutrophil: 170.2	Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
2213	PYDC1	Pyrin domain-containing protein 1	Predicted intracellular proteins		Signal transduction inhibitor		Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2214	PYY	Peptide YY	Predicted secreted proteins		Hormone		Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
2215	PZP	Pregnancy zone protein	Cancer-related genes, Plasma proteins, Predicted secreted proteins		Protease inhibitor, Serine protease inhibitor	Cancer-related genes	Immune cell enhanced	gdT-cell: 1.1;MAIT T-cell: 1.1	Lineage enriched	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	1	0	2	1	Immune-cell-enriched
2216	QDPR	Dihydropteridine reductase	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Tetrahydrobiopterin biosynthesis	Oxidoreductase	Disease variant, Phenylketonuria	Low immune cell specificity		Low lineage specificity		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2217	QPCT	Glutaminyl-peptide cyclotransferase	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins		Acyltransferase, Transferase		Immune cell enriched	neutrophil: 1536.9	Lineage enriched	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	0	2	1	Immune-cell-enriched
2218	QSOX1	Sulfhydryl oxidase 1	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins		Oxidoreductase		Low immune cell specificity		Low lineage specificity	Secreted to extracellular matrix	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
2219	RAB10	Ras-related protein Rab-10	Enzymes, Predicted intracellular proteins	Protein transport, Transport	Hydrolase	Neurodegeneration	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2220	RAB11FIP3	Rab11 family-interacting protein 3	Cancer-related genes, Predicted intracellular proteins	Cell cycle, Cell division, Transport		Cancer-related genes	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2221	RAB27B	Ras-related protein Rab-27B	Enzymes, Plasma proteins, Predicted intracellular proteins		Hydrolase		Immune cell enhanced	gdT-cell: 2.2;NK-cell: 2.6	Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell;NK-cell	0	0	2	1	Immune-cell-enriched
2222	RAB2B	Ras-related protein Rab-2B	Enzymes, Predicted intracellular proteins	ER-Golgi transport, Protein transport, Transport	Hydrolase		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2223	RAB33A	Ras-related protein Rab-33A	Predicted intracellular proteins		Hydrolase		Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2224	RAB37	Ras-related protein Rab-37	Plasma proteins, Predicted intracellular proteins	Protein transport, Transport	Hydrolase		Immune cell enhanced	basophil: 269.5	Lineage enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
2225	RAB39B	Ras-related protein Rab-39B	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	Autophagy, Protein transport, Transport	Hydrolase	Autism spectrum disorder, Disease variant, Intellectual disability, Parkinson disease	Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2226	RAB3GAP1	Rab3 GTPase-activating protein catalytic subunit	Disease related genes, Human disease related genes, Predicted intracellular proteins		GTPase activation	Cataract, Disease variant, Intellectual disability	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2227	RAB44	Ras-related protein Rab-44	Predicted intracellular proteins				Group enriched	basophil: 10.6;eosinophil: 7.2	Lineage enriched		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
2228	RAB6A	Ras-related protein Rab-6A	Predicted intracellular proteins	ER-Golgi transport, Host-virus interaction, Protein transport, Transport	Hydrolase		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2229	RAB6B	Ras-related protein Rab-6B	Enzymes, Predicted intracellular proteins	ER-Golgi transport, Protein transport, Transport	Hydrolase		Immune cell enriched	MAIT T-cell: 7.4	Lineage enriched		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	0	0	2	1	Immune-cell-enriched
2230	RABEP1	Rab GTPase-binding effector protein 1	Cancer-related genes, Predicted intracellular proteins	Apoptosis, Endocytosis, Protein transport, Transport		Cancer-related genes	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2231	RABEPK	Rab9 effector protein with kelch motifs	Predicted intracellular proteins				Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2232	RABGAP1L	Rab GTPase-activating protein 1-like	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Endocytosis, Protein transport, Transport	GTPase activation		Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2233	RAC3	Ras-related C3 botulinum toxin substrate 3	Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins		Hydrolase	Disease variant, Intellectual disability	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2234	RAD23B	UV excision repair protein RAD23 homolog B	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	DNA damage, DNA repair, Ubl conjugation pathway		Cancer-related genes	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2235	RAD51	DNA repair protein RAD51 homolog 1	Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins	DNA damage, DNA recombination, DNA repair	DNA-binding	Cancer-related genes, Disease variant, Fanconi anemia	Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2236	RALB	Ras-related protein Ral-B	Enzymes, Predicted intracellular proteins, RAS pathway related proteins	Apoptosis, Cell cycle, Cell division	Hydrolase		Immune cell enhanced	neutrophil: 380.1	Group enriched		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
2237	RALY	RNA-binding protein Raly	Plasma proteins, Predicted intracellular proteins	mRNA processing, mRNA splicing, Transcription, Transcription regulation	Ribonucleoprotein, RNA-binding		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2238	RANBP1	Ran-specific GTPase-activating protein	Essential proteins, Plasma proteins, Predicted intracellular proteins		GTPase activation		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2239	RANBP2	E3 SUMO-protein ligase RanBP2	Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	mRNA transport, Protein transport, Translocation, Transport, Ubl conjugation pathway	RNA-binding, Transferase	Cancer-related genes	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2240	RANGAP1	Ran GTPase-activating protein 1	Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters		GTPase activation		Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2241	RAP1A	Ras-related protein Rap-1A	Enzymes, Predicted intracellular proteins, RAS pathway related proteins	Neurogenesis	Hydrolase	Tumor suppressor	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2242	RAPGEF2	Rap guanine nucleotide exchange factor 2	Disease related genes, Human disease related genes, Predicted intracellular proteins	Differentiation, Neurogenesis	Developmental protein, GTPase activation, Guanine-nucleotide releasing factor	Epilepsy	Immune cell enhanced	neutrophil: 2.3	Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
2243	RARRES1	Retinoic acid receptor responder protein 1	Predicted intracellular proteins		Protease inhibitor		Not detected in immune cells		Not detected	Intracellular and membrane	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
2244	RARRES2	Retinoic acid receptor responder protein 2	Plasma proteins, Predicted secreted proteins	Chemotaxis, Differentiation, Inflammatory response			Immune cell enriched	plasmacytoid DC: 5.4	Lineage enriched	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Myeloid/Monocyte;Dendritic	1	1	3	1	Immune-cell-enriched
2245	RASA1	Ras GTPase-activating protein 1	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins		GTPase activation	Cancer-related genes, Disease variant, Tumor suppressor	Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2246	RASGRF1	Ras-specific guanine nucleotide-releasing factor 1	Predicted intracellular proteins, RAS pathway related proteins		Guanine-nucleotide releasing factor		Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2247	RASSF2	Ras association domain-containing protein 2	Predicted intracellular proteins	Cell cycle		Tumor suppressor	Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2248	RBFOX3	RNA binding protein fox-1 homolog 3	Predicted intracellular proteins	mRNA processing, mRNA splicing	RNA-binding		Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2249	RBKS	Ribokinase	Enzymes, Metabolic proteins, Predicted intracellular proteins	Carbohydrate metabolism	Kinase, Transferase		Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2250	RBM17	Splicing factor 45	Essential proteins, Plasma proteins, Predicted intracellular proteins	mRNA processing, mRNA splicing	RNA-binding		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2251	RBM19	Probable RNA-binding protein 19	Essential proteins, Plasma proteins, Predicted intracellular proteins		Developmental protein, RNA-binding		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2252	RBM25	RNA-binding protein 25	Essential proteins, Plasma proteins, Predicted intracellular proteins	mRNA processing, mRNA splicing	RNA-binding		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2253	RBP1	Retinol-binding protein 1	Metabolic proteins, Predicted intracellular proteins	Transport			Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2254	RBP2	Retinol-binding protein 2	Metabolic proteins, Predicted intracellular proteins, Transporters	Transport			Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2255	RBP5	Retinol-binding protein 5	Plasma proteins, Predicted intracellular proteins	Transport			Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2256	RBP7	Retinoid-binding protein 7	Predicted intracellular proteins	Transport			Immune cell enhanced	classical monocyte: 312.6;neutrophil: 347.3	Group enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Granulocyte	0	0	2	1	Immune-cell-enriched
2257	RBPMS	RNA-binding protein with multiple splicing	Predicted intracellular proteins	Transcription, Transcription regulation	Activator, RNA-binding		Immune cell enriched	plasmacytoid DC: 1.0	Lineage enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	0	2	1	Immune-cell-enriched
2258	RBPMS2	RNA-binding protein with multiple splicing 2	Predicted intracellular proteins		Developmental protein, RNA-binding		Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2259	RCC1	Regulator of chromosome condensation	Essential proteins, Plasma proteins, Predicted intracellular proteins	Cell cycle, Cell division, Mitosis	DNA-binding, Guanine-nucleotide releasing factor		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2260	RCOR1	REST corepressor 1	Predicted intracellular proteins	Host-virus interaction, Transcription, Transcription regulation	Chromatin regulator, Repressor		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2261	RECK	Reversion-inducing cysteine-rich protein with Kazal motifs	Plasma proteins, Predicted membrane proteins	Wnt signaling pathway	Protease inhibitor, Serine protease inhibitor	Tumor suppressor	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2262	REEP4	Receptor expression-enhancing protein 4	Predicted membrane proteins	Cell cycle, Cell division, Mitosis			Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
2263	REG1A	Lithostathine-1-alpha	Plasma proteins, Predicted secreted proteins, Transporters				Not detected in immune cells		Not detected	Secreted to digestive system	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
2264	REG1B	Lithostathine-1-beta	Predicted intracellular proteins, Predicted secreted proteins				Not detected in immune cells		Not detected	Secreted to digestive system	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
2265	REG3A	Regenerating islet-derived protein 3-alpha	Plasma proteins, Predicted secreted proteins, Transporters	Acute phase, Inflammatory response	Antimicrobial		Not detected in immune cells		Not detected	Secreted to digestive system	Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1	1	0	Other immune-annotated
2266	REG3G	Regenerating islet-derived protein 3-gamma	Predicted secreted proteins	Acute phase, Inflammatory response	Antimicrobial		Not detected in immune cells		Not detected	Secreted to digestive system	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1	1	0	Other immune-annotated
2267	REG4	Regenerating islet-derived protein 4	Predicted secreted proteins				Immune cell enriched	naive CD8 T-cell: 24.7	Lineage enriched	Secreted to digestive system	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	1	0	2	1	Immune-cell-enriched
2268	RELB	Transcription factor RelB	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Biological rhythms, Transcription, Transcription regulation	Activator, DNA-binding, Repressor	Cancer-related genes, Disease variant	Immune cell enhanced	neutrophil: 15.6	Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
2269	RELT	Tumor necrosis factor receptor superfamily member 19L	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Apoptosis	Receptor	Amelogenesis imperfecta, Disease variant	Low immune cell specificity		Low lineage specificity		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
2270	REN	Renin	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins		Aspartyl protease, Hydrolase, Protease	Disease variant, FDA approved drug targets	Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
2271	REPS1	RalBP1-associated Eps domain-containing protein 1	Disease related genes, Human disease related genes, Predicted intracellular proteins			Disease variant, Neurodegeneration	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2272	REST	RE1-silencing transcription factor	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	Repressor	Deafness, Disease variant, Non-syndromic deafness	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2273	RET	Proto-oncogene tyrosine-protein kinase receptor Ret	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Cell adhesion	Kinase, Receptor, Transferase, Tyrosine-protein kinase	Cancer-related genes, Disease variant, FDA approved drug targets, Hirschsprung disease, Proto-oncogene	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
2274	RETN	Resistin	Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins		Hormone	Diabetes mellitus, Obesity	Group enriched	classical monocyte: 171.1;intermediate monocyte: 92.0;myeloid DC: 118.9;non-classical monocyte: 47.6	Group enriched	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	1	0	2	1	Immune-cell-enriched
2275	REXO2	Oligoribonuclease, mitochondrial	Predicted intracellular proteins		Exonuclease, Hydrolase, Nuclease		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2276	RFC4	Replication factor C subunit 4	Essential proteins, Plasma proteins, Predicted intracellular proteins	DNA replication		Deafness	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2277	RGCC	Regulator of cell cycle RGCC	Predicted intracellular proteins	Cell cycle			Immune cell enhanced	naive CD4 T-cell: 160.9;T-reg: 91.1	Lineage enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	0	0	2	1	Immune-cell-enriched
2278	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins		Guanine-nucleotide releasing factor		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2279	RGMA	Repulsive guidance molecule A	Predicted intracellular proteins, Predicted secreted proteins				Not detected in immune cells		Not detected	Secreted - unknown location	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
2280	RGMB	RGM domain family member B	Predicted intracellular proteins, Predicted membrane proteins				Immune cell enhanced	naive CD4 T-cell: 3.3	Group enriched		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	0	0	2	1	Immune-cell-enriched
2281	RGS10	Regulator of G-protein signaling 10	Predicted intracellular proteins		GTPase activation, Signal transduction inhibitor		Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2282	RGS8	Regulator of G-protein signaling 8	Predicted intracellular proteins		GTPase activation, Signal transduction inhibitor		Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2283	RHOC	Rho-related GTP-binding protein RhoC	Cancer-related genes, Predicted intracellular proteins			Cancer-related genes	Immune cell enhanced	non-classical monocyte: 1403.4	Lineage enriched		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	0	0	2	1	Immune-cell-enriched
2284	RICTOR	Rapamycin-insensitive companion of mTOR	Essential proteins, Predicted intracellular proteins, Transporters	Host-virus interaction	Developmental protein		Immune cell enhanced	neutrophil: 30.8	Lineage enriched		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
2285	RIDA	2-iminobutanoate/2-iminopropanoate deaminase	Enzymes, Plasma proteins, Predicted intracellular proteins	Lipid metabolism	Hydrolase, RNA-binding		Low immune cell specificity		Low lineage specificity		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2286	RILP	Rab-interacting lysosomal protein	Predicted intracellular proteins	Protein transport, Transport			Group enriched	classical monocyte: 3.5;eosinophil: 1.0;intermediate monocyte: 1.2;myeloid DC: 2.4;neutrophil: 3.4;plasmacytoid DC: 1.3	Group enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Granulocyte;Dendritic	0	0	2	1	Immune-cell-enriched
2287	RILPL2	RILP-like protein 2	Predicted intracellular proteins	Protein transport, Transport			Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
2288	RIPK4	Receptor-interacting serine/threonine-protein kinase 4	Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins		Kinase, Receptor, Serine/threonine-protein kinase, Transferase	Disease variant, Ectodermal dysplasia	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
2289	RLN1	Prorelaxin H1	Plasma proteins, Predicted secreted proteins		Hormone		Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
2290	RLN2	Prorelaxin H2	Predicted intracellular proteins, Predicted secreted proteins		Hormone		Group enriched	gdT-cell: 1.4;MAIT T-cell: 4.2;memory B-cell: 1.9;memory CD4 T-cell: 2.8;memory CD8 T-cell: 2.3;naive B-cell: 1.4;naive CD4 T-cell: 4.0;naive CD8 T-cell: 3.0;NK-cell: 3.5;T-reg: 1.4	Group enriched	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell;B-cell;NK-cell	1	0	2	1	Immune-cell-enriched
2291	RNASE1	Ribonuclease pancreatic	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins		Endonuclease, Hydrolase, Lyase, Nuclease		Immune cell enhanced	classical monocyte: 9.7;myeloid DC: 20.3	Group enriched	Secreted to digestive system	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	1	0	2	1	Immune-cell-enriched
2292	RNASE10	Inactive ribonuclease-like protein 10	Predicted secreted proteins	Cell adhesion, Fertilization			Not detected in immune cells		Not detected	Secreted - unknown location	Not detected	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
2293	RNASE3	Eosinophil cationic protein	Predicted secreted proteins		Antibiotic, Antimicrobial, Endonuclease, Hydrolase, Nuclease		Immune cell enriched	eosinophil: 307.0	Lineage enriched	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	0	2	1	Immune-cell-enriched
2294	RNASE4	Ribonuclease 4	Plasma proteins, Predicted secreted proteins		Antibiotic, Antimicrobial, Endonuclease, Hydrolase, Nuclease		Immune cell enhanced	classical monocyte: 24.1	Low lineage specificity	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	1	0	2	1	Immune-cell-enriched
2295	RNASE6	Ribonuclease K6	Predicted secreted proteins		Antibiotic, Antimicrobial, Endonuclease, Hydrolase, Nuclease		Immune cell enhanced	plasmacytoid DC: 1241.7	Low lineage specificity	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	1	0	2	1	Immune-cell-enriched
