olink_id	gene_symbol	protein_name	hpa_protein_class	hpa_bio_process	hpa_mol_function	hpa_disease	rna_blood_cell_specificity	rna_blood_cell_specific_ntpm	rna_blood_lineage_specificity	secretome_location	rna_tissue_specificity	msigdb_c7_immune_gene	cytokine	interleukin	interferon_axis	TNF_axis	chemokine	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	inflammation_immune_annotated	immune_score	is_plasma_immune	immune_class
1746	MORC3	MORC family CW-type zinc finger protein 3	Predicted intracellular proteins	Host-virus interaction, Immunity, Innate immunity	RNA-binding		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1	1	0	Other immune-annotated
1747	MORF4L1	Mortality factor 4-like protein 1	Plasma proteins, Predicted intracellular proteins	DNA damage, DNA recombination, DNA repair, Growth regulation, Transcription, Transcription regulation	Chromatin regulator		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1748	MORF4L2	Mortality factor 4-like protein 2	Plasma proteins, Predicted intracellular proteins	DNA damage, DNA repair, Growth regulation, Transcription, Transcription regulation	Chromatin regulator		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1749	MORN4	MORN repeat-containing protein 4	Predicted intracellular proteins				Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1750	MPHOSPH8	M-phase phosphoprotein 8	Predicted intracellular proteins	Transcription, Transcription regulation	Repressor		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1751	MPI	Mannose-6-phosphate isomerase	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins		Isomerase	Congenital disorder of glycosylation, Disease variant	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1752	MPIG6B	Megakaryocyte and platelet inhibitory receptor G6b	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins		Heparin-binding, Receptor		Immune cell enhanced	NK-cell: 1.6	Low lineage specificity	Intracellular and membrane	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NK-cell	0	0	2	1	Immune-cell-enriched
1753	MPO	Myeloperoxidase	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Hydrogen peroxide	Oxidoreductase, Peroxidase	Cancer-related genes, Disease variant	Immune cell enhanced	classical monocyte: 1.2	Low lineage specificity	Intracellular and membrane	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	0	0	2	1	Immune-cell-enriched
1754	MPRIP	Myosin phosphatase Rho-interacting protein	Predicted intracellular proteins		Actin-binding		Immune cell enhanced	T-reg: 61.0	Lineage enriched		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	0	0	2	1	Immune-cell-enriched
1755	MRC1	Macrophage mannose receptor 1	CD markers, FDA approved drug targets, Plasma proteins, Predicted membrane proteins	Endocytosis, Host-virus interaction	Host cell receptor for virus entry, Receptor	FDA approved drug targets	Immune cell enriched	myeloid DC: 4.8	Lineage enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Myeloid/Monocyte;Dendritic	0	0	2	1	Immune-cell-enriched
